label,prediction,ec3
0,4.987412e-07,3
0,2.0408866e-08,2
0,3.62116e-08,3
0,1.2161669e-06,1
0,1.0481932e-05,1
0,6.963339e-07,2
0,8.3230255e-08,2
0,1.3317582e-07,2
0,4.717063e-07,3
0,1.1004519e-06,2
0,4.9186795e-08,3
0,5.628012e-08,2
0,2.8424301e-06,2
0,6.968993e-08,3
0,1.0115176e-07,2
0,1.0495034e-07,3
0,6.3336206e-06,2
0,7.844272e-08,2
0,7.967534e-06,2
0,2.9167404e-06,2
0,1.5111046e-07,3
0,5.516211e-06,3
0,2.937846e-07,1
0,1.4217181e-06,2
0,1.6349225e-07,3
0,0.0012599372,1
0,2.1794175e-07,3
0,6.4347223e-06,2
0,3.0054824e-07,3
0,1.0912981e-05,1
0,1.5329847e-07,2
0,3.952768e-08,2
0,6.6551635e-08,2
0,2.8568582e-08,2
0,2.7368431e-08,3
0,2.7821011e-08,3
0,4.6090718e-06,2
0,2.9414787e-06,2
0,1.1794792e-06,1
0,5.0216464e-08,2
0,1.0078202e-07,2
0,1.5962805e-06,1
0,3.4167115e-07,3
0,2.016646e-06,2
0,3.3811466e-05,2
0,2.0207358e-07,3
0,2.834667e-07,3
0,2.601862e-07,1
0,4.3881653e-07,3
0,1.4757536e-07,3
0,1.5247846e-07,2
0,6.9187706e-08,2
0,2.8023849e-06,1
0,2.9675803e-05,2
0,2.7889604e-08,2
0,4.2768804e-08,2
0,4.022611e-06,2
0,4.661791e-08,3
0,1.7024724e-06,1
0,1.6120409e-06,2
0,7.385898e-08,2
0,3.4429092e-06,2
0,1.5828671e-05,2
0,1.0593115e-07,3
0,1.3978327e-07,3
0,5.1049692e-08,2
0,3.4726502e-06,1
0,7.0308084e-07,1
0,5.658257e-07,1
0,2.6797748e-08,3
0,4.2059185e-08,3
0,3.3118035e-06,1
0,4.648944e-06,2
0,3.2717064e-06,2
0,9.336916e-08,2
0,6.727682e-06,2
0,4.1725027e-08,2
0,1.2979514e-07,3
0,2.0986064e-08,2
0,8.064292e-08,3
0,4.0698424e-08,3
0,3.7155626e-08,3
0,7.392831e-08,2
0,1.4217181e-06,2
0,9.544253e-08,2
0,2.180438e-07,3
0,8.507286e-07,2
0,7.652205e-08,2
0,0.015872562,2
0,4.86018e-07,3
0,8.762008e-08,2
0,1.6503527e-06,99
0,0.0019715372,1
0,3.6202769e-06,1
0,1.07386924e-07,3
0,1.2368082e-07,3
0,1.5412982e-06,1
0,3.0706522e-07,2
0,3.949819e-09,3
0,5.0863665e-08,3
0,8.959961e-08,2
0,1.6084581e-07,2
0,7.295173e-08,2
0,7.265654e-06,2
0,1.6296764e-07,2
0,2.5769311e-06,1
0,4.6555942e-06,2
0,1.0166361e-06,1
0,2.9317134e-06,2
0,0.0005731999,2
0,1.1692329e-06,1
0,9.1338984e-07,1
0,7.1014637e-07,2
0,9.788346e-08,3
0,1.2077699e-06,99
0,2.3645892e-07,3
0,1.8670593e-05,2
0,2.6367092e-05,2
0,1.3781289e-06,1
0,8.777933e-08,2
0,1.1902676e-07,2
0,2.7699157e-06,99
0,8.100163e-08,2
0,9.119293e-07,99
0,5.3189293e-08,3
0,4.5983024e-06,1
0,7.028898e-07,2
0,6.417248e-08,2
0,3.608098e-05,2
0,1.1335009e-07,2
0,2.7716358e-06,2
0,1.17094075e-07,2
0,2.5469586e-05,2
0,0.00094146666,2
0,1.0590873e-07,2
0,2.9776963e-08,2
0,2.5517417e-07,3
0,8.564872e-07,99
0,3.138904e-06,1
0,1.4640837e-07,3
0,5.1269577e-05,2
0,2.7081589e-08,2
0,1.8861023e-05,2
0,6.6180803e-07,99
0,2.3132113e-06,2
0,3.8176413e-06,2
0,5.9050393e-08,2
0,4.1725027e-08,2
0,0.0015713285,2
0,1.5417787e-07,3
0,3.138904e-06,1
0,5.066885e-08,2
0,2.3849736e-08,2
0,1.0843771e-06,1
0,7.6105184e-06,2
